urn:samm:io.catenax.asset_tracker_links:2.0.0 ; 2.0.0 ; release ; Property ; catenaXId ; Catena-X Identifier ; ext-uuid:UuidV4Trait ; The Catena-X ID of the given asset, valid for the Catena-X dataspace. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; separateCollection ; Separate Collection ; ext-passport:DocumentList ; Documentation about separate collection of batteries involve information on how to properly collect, handle, and recycle batteries to ensure environmental sustainability and compliance with regulations. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1) (s), refers to Article 74:\n1. In addition to the information referred to in Article 8a(2) of Directive 2008/98/EC, producers or, where appointed in accordance with Article 57(1), producer responsibility organisations shall make available to end-users and distributors the following information regarding the prevention and management of waste batteries with regard to the categories of batteries that they supply within the territory of a Member State:\n(a) the role of end-users in contributing to waste prevention, including by information on good practices and recommendations concerning the use of batteries aimed at extending their use phase and the possibilities of re-use, preparation for re-use, preparation for repurposing, repurposing and remanufacturing;\n(b) the role of end-users in contributing to the separate collection of waste batteries in accordance with their obligations under Article 64 to allow their treatment;\n(c) the separate collection, take-back and collection points, preparation for re-use, preparation for repurposing and treatment available for waste batteries;\n(d) the necessary safety instructions to handle waste batteries, including in relation to the risks associated with, and the handling of, batteries containing lithium;\n(e) the meaning of the labels and symbols on batteries in accordance with Article 13 or printed on their packaging or in the documents accompanying batteries; and\n(f) the impact of substances, in particular hazardous substances, present in batteries on the environment and on human health or the safety of persons, including the impact due to inappropriate discarding of waste batteries, such as littering or discarding as unsorted municipal waste. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; wastePrevention ; Waste Prevention ; ext-passport:DocumentList ; Documentation about waste prevention for batteries which include guidelines, recommendations, and information on minimizing the environmental impact associated with the use and disposal of batteries. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1) (s), refers to Article 74 (1) which call Article 8a of Directive 2008/98/EC:\n2. Member States shall take the necessary measures to ensure that the waste holders targeted by the extended producer responsibility schemes established in accordance with Article 8 (1), are informed about waste prevention measures, centres for re-use and preparing for re-use, take-back and collection systems, and the prevention of littering. Member States shall also take measures to create incentives for the waste holders to assume their responsibility to deliver their waste into the separate collection systems in place, notably, where appropriate, through economic incentives or regulations. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; euTaxonomyDisclosureStatement ; EU Taxonomy Disclosure Statement ; ext-passport:DocumentList ; Optional disclosure regarding the EU taxonomy, with the choice to voluntarily provide the EU Taxonomy disclosure through the battery passport. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; sustainabilityReport ; Sustainability Report ; ext-passport:DocumentList ; Voluntarily making the Sustainability Report available via the battery passport. A report containing the information concerning the sustainability in form of a document. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; nickel ; Nickel ; :MaterialActive ; Information about the percentage of recovered nickel from waste. These attribute are mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1)(e) refers to Article 8:\n1. From 18 August 2028 or 24 months after the date of entry into force of the delegated act referred to in the third subparagraph, whichever is the latest, industrial batteries with a capacity greater than 2 kWh, except those with exclusively external storage, electric vehicle batteries and SLI batteries that contain cobalt, lead, lithium or nickel in active materials, shall be accompanied by documentation containing information about the percentage share of cobalt, lithium or nickel that is present in active materials and that has been recovered from battery manufacturing waste or post-consumer waste, and the percentage share of lead that is present in the battery and that has been recovered from waste, for each battery model per year and per manufacturing plant. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; lithium ; Lithium ; :MaterialActive ; Information about the percentage of recovered lithium from waste. These attribute are mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1)(e) refers to Article 8:\n1. From 18 August 2028 or 24 months after the date of entry into force of the delegated act referred to in the third subparagraph, whichever is the latest, industrial batteries with a capacity greater than 2 kWh, except those with exclusively external storage, electric vehicle batteries and SLI batteries that contain cobalt, lead, lithium or nickel in active materials, shall be accompanied by documentation containing information about the percentage share of cobalt, lithium or nickel that is present in active materials and that has been recovered from battery manufacturing waste or post-consumer waste, and the percentage share of lead that is present in the battery and that has been recovered from waste, for each battery model per year and per manufacturing plant. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; cobalt ; Cobalt ; :MaterialActive ; Information about the percentage of recovered cobalt from waste. These attribute are mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1)(e) refers to Article 8:\n1. From 18 August 2028 or 24 months after the date of entry into force of the delegated act referred to in the third subparagraph, whichever is the latest, industrial batteries with a capacity greater than 2 kWh, except those with exclusively external storage, electric vehicle batteries and SLI batteries that contain cobalt, lead, lithium or nickel in active materials, shall be accompanied by documentation containing information about the percentage share of cobalt, lithium or nickel that is present in active materials and that has been recovered from battery manufacturing waste or post-consumer waste, and the percentage share of lead that is present in the battery and that has been recovered from waste, for each battery model per year and per manufacturing plant. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; lead ; Lead ; :LeadCharacteristic ; /NA/ ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; otherActiveMaterials ; Other Active Materials ; :OtherActiveMaterialsList ; Other active materials in the battery. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; hazardousCadmium ; Hazardous Cadmium ; :HazardousCharacteristic ; /NA/ ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; hazardousMercury ; Hazardous Mercury ; :HazardousCharacteristic ; /NA/ ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; otherHazardousMaterial ; Other Hazardous Material ; :OtherHazardousMaterialList ; Other hazardous materials. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; voltage ; Voltage ; :VoltageCharacteristic ; Voltage values are mandatory for the battery, with the option to include temperature values voluntarily. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1):\n(h) minimal, nominal and maximum voltage, with temperature ranges when relevant. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; ratedRoundTripEfficiency ; Rated Round Trip Efficiency ; :RatedRoundTripEfficiencyCharacteristic ; The efficiency value of a battery refers to the ratio of useful output energy to the input energy, expressed as a percentage. With the option to include temperature values voluntarily. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; ratedEnergy ; Rated Energy ; :RatedEnergyCharacteristic ; Representation of the total amount of energy that the battery can store and subsequently deliver during its discharge cycle. It is necessary to calculate the SOCE. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; ratedResistance ; Rated Resistance ; :RatedResistanceCharacteristic ; Rated resistance of the battery on the level of the pack, module (optional) and cell. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; ratedPower ; Rated Power ; :RatedPowerCharacteristic ; /NA/ ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; ratedCapacity ; Rated Capacity ; :RatedCapacityCharacteristic ; /NA/ ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; performanceDocument ; Performance Document ; ext-passport:DocumentList ; The performance document lists information regarding the performance of the battery. This can be an overview about several rated performance attributes. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (3):\n[...] results of test reports proving compliance with the requirements laid down in this Regulation or any delegated or implementing act adopted pursuant to this Regulation.\nAnd Annex XIII (4)(a) refers to Article 10(1) and refer to Annex IV Part B:\n5. Any calculations performed with the measured parameters, if applicable. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; performanceTemperature ; Performance Temperature ; :PerformanceTemperatureCharacteristic ; The battery temperatures. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1):\n(l) temperature range the battery can withstand when not in use (reference test). ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; selfDischargingRate ; Self Discharging Rate ; :PercentMeasurement ; The self-discharge rate of a battery refers to the rate at which the battery loses its stored energy when not in use. It's the discharge of the battery that occurs internally without any external load recorded in percentage for every month. This attribute is mentioned in the Battery Regulation 2023/1542 from 12 July 2023 in Annex XIII (4) (b) refers to Article 14, refers to Annex VII Part A:\n4. the evolution of self-discharging rates. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; testReport ; Test Report ; ext-passport:DocumentList ; The test reports refer to the testing conducted during the determination of the rated values of the battery. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (3):\n[...] results of test reports proving compliance with the requirements laid down in this Regulation or any delegated or implementing act adopted pursuant to this Regulation.\nAnd Annex XIII (4)(a) refers to Article 10(1) and refer to Annex IV Part B:\n5. Any calculations performed with the measured parameters, if applicable. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; lifetime ; Lifetime ; :LifeCycleCharacteristic ; Attributes for the lifetime evaluation of a battery. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; stateOfCharge ; State of Charge ; :RecordCharacteristic ; State of Charge (SOC) refers to the amount of energy remaining in a battery at a given point in time, expressed as a percentage of the total capacity. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (4):\n(d) information and data resulting from its use, including the number of charging and discharging cycles and negative events, such as accidents, as well as periodically recorded information on the operating environmental conditions, including temperature, and on the state of charge. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; fullCycles ; Full Cycles ; :FullCycleCharacteristic ; Full cycles include the cumulative and equivalent count of complete charge and discharge cycles experienced by the battery over its entire life. This attribute is mentioned in the Battery Regulation 2023/1542 from 12 July 2023 in Annex XIII (4) (d) information and data resulting from its use, including the number of charging and discharging cycles and negative events, such as accidents, as well as periodically recorded information on the operating environmental conditions, including temperature, and on the state of charge.\nAnd in AnnexVII Part B:\n5. the number of full equivalent charge-discharge cycles. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; dynamicPower ; Dynamic Power ; :DynamicPowerCharacteristic ; Values that describe dynamically captured power values. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; dynamicCapacity ; Dynamic Capacity ; :DynamicCapacityCharacteristic ; Values that describe dynamically captured capacity values. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; dynamicRoundTripEfficiency ; Dynamic Round Trip Efficiency ; :DynamicRoundTripEfficiencyCharacteristic ; Dynamic round trip efficiency values. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; dynamicInternalResistance ; Dynamic Internal Resistance ; :DynamicInternalResistanceCharacteristic ; Values that describe dynamically captured internal resistance values. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; dynamicEnergy ; Dynamic Energy ; :DynamicEnergyCharacteristic ; Values that describe dynamically captured energy values. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; negativeEvents ; Negative Events ; ext-passport:DocumentList ; Mandatory if applicable. Negative events refers to several possible events influencing the battery's condition and lifetime such as extreme temperatures. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (4):\n(d) information and data resulting from its use, including the number of charging and discharging cycles and negative events, such as accidents, as well as periodically recorded information on the operating environmental conditions, including temperature, and on the state of charge.\nAnd Annex VII Part B:\n4. the tracking of harmful events, such as the number of deep discharge events, time spent in extreme temperatures, time spent charging in extreme temperatures. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; operatingEnvironment ; Operating Environment ; ext-passport:DocumentList ; Mandatory if applicable. The operating environment refers to the conditions in which the battery is designed to function optimally. The environment includes factors such as temperature, humidity, pressure, and other external conditions that can impact the performance, safety, and lifespan of the battery. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (4):\n(d) information and data resulting from its use, including the number of charging and discharging cycles and negative events, such as accidents, as well as periodically recorded information on the operating environmental conditions, including temperature, and on the state of charge.\nAnd Annex VII Part B:\n4. the tracking of harmful events, such as the number of deep discharge events, time spent in extreme temperatures, time spent charging in extreme temperatures. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; agentDocument ; Agent Document ; ext-passport:DocumentList ; Documentation about the extinguishing agent. ;
